dataset,compartment,n,median_reported_pfas_ng_l,median_estimated_pfas_ng_l,median_ratio,p05_ratio,p95_ratio,median_relative_error_percent,p05_relative_error_percent,p95_relative_error_percent
Grand_Lyon,soil_extract,212,5550.0,5812.036503240322,1.0453653531940643,0.9908680000860364,1.0749123895803179,4.536535319406432,-0.9131999913963629,7.491238958031787
Muir,sea_water,2470,6.234499999999999,6.391973946039412,1.0211351356466531,0.9478189204641632,1.0653289910065689,2.1135135646653147,-5.218107953583684,6.532899100656886
Germany_ELWAS,mixed_water,5538,42.0,42.00161489564144,1.0177897274266907,0.8819475680894834,1.0653289910065689,1.7789727426690716,-11.805243191051662,6.532899100656886
UK_EA,mixed_water,801,3.7,3.7508868017991195,1.0105663799656392,0.9617658466151587,1.0653289910065689,1.056637996563925,-3.8234153384841263,6.532899100656886
RIVM,mixed_water,3454,1390.0,1400.456615085734,1.0080413066246159,0.9996138577574532,1.0653289910065689,0.8041306624615885,-0.03861422425468497,6.532899100656886
France_Naiades,surface_water,58089,6.4,6.4289975703701865,1.0047732631900714,0.9693354488436177,1.0513886437767501,0.47732631900714306,-3.0664551156382336,5.138864377675012
France_ICPE,industrial_discharge,18704,180.0,182.73551085688018,1.0023573761925921,0.8819475680894833,1.0653289910065689,0.2357376192592131,-11.805243191051673,6.532899100656886
Flanders,mixed_water,34599,726.0,739.7142547405155,0.9996138577574532,0.9238788438515962,1.0653289910065686,-0.03861422425468497,-7.612115614840375,6.532899100656864
France_ADES,groundwater,13965,10.6,10.566476166115576,0.9996138577574534,0.773760349598474,1.0573518507730446,-0.038614224254662766,-22.623965040152605,5.735185077304461
France_ANSES,drinking_water,176,11.2,11.277124780493835,0.9996138577574535,0.9554750373186658,1.051540436817744,-0.03861422425465166,-4.452496268133421,5.1540436817743895
France_EauRob,tap_water,1992,13.95,13.80520699946724,0.9996138577574535,0.955475037318666,1.0561386246893292,-0.03861422425465166,-4.452496268133399,5.6138624689329175
Germany_TFA,surface_water_with_TFA,200,4.75,4.7158889287726105,0.9996138577574534,0.969077582664696,1.0094056685146502,-0.038614224254662766,-3.0922417335303987,0.940566851465019
Italy_Friuli_Venezia,mixed_water,604,0.5,0.4998069288787267,0.9996138577574534,0.9996138577574524,1.0132507445162622,-0.038614224254662766,-0.038614224254762686,1.325074451626218
Veneto,mixed_water,12235,69.0,67.78987150688539,0.9996138577574535,0.9436384279015476,1.0429817065067517,-0.03861422425465166,-5.636157209845239,4.2981706506751705
UCMR5_extract,drinking_water,1344,21.9,21.659810700712733,0.9967952267033097,0.9150819526378478,1.0653289910065686,-0.3204773296690333,-8.491804736215226,6.532899100656864
WQP_multimedia,environmental_hotspot_water,930,1200.0,1154.1190159381906,0.961765846615159,0.8877986126950683,1.025219419925891,-3.823415338484104,-11.220138730493169,2.521941992589105
